PT;AU;BA;BE;GP;AF;BF;CA;TI;SO;SE;BS;LA;DT;CT;CY;CL;SP;HO;DE;ID;AB;C1;RP;RI;OI;FU;FX;CR;NR;TC;Z9;U1;U2;PU;PI;PA;SN;EI;BN;J9;JI;PD;PY;VL;IS;PN;SU;SI;MA;BP;EP;AR;DI;D2;EA;PG;WC;SC;GA;UT;PM;OA;HC;HP;DA
J;"Martin, M; Vacca, F";;;;"Martin, Marcella; Vacca, Federica";;;Heritage narratives in the digital era How digital technologies have improved approaches and tools for fashion know-how, traditions, and memories;RESEARCH JOURNAL OF TEXTILE AND APPAREL;;;English;Article;;;;;;"Heritage; Digital humanities; Digital archive; Company archives; Fashion exhibitions; Fashion museum";"MUSEUM; KNOWLEDGE";Purpose By considering the role of technology in museum archives and exhibitions, as well as company archives and production, this paper aims to present that digital technologies offer new approaches and tools to consider fashion know-how, traditions and memories. Design/methodology/approach Through an extensive literature review and a close consideration of multiple sources, this paper analyzes fashion, tradition and knowledge creation through the lens of museum and company archives. A section on museum archives analyzes the role of fashion in the museum and the use of technology in cataloging, online resources and exhibitions for knowledge transfer of fashion history. The second half of the paper considers the relationship between heritage, company archives and technology in branding and consumer engagement. Findings The paper summarizes recent scholarship in the fields of fashion archives and demonstrates the still current importance of heritage in generating new design and exhibition practices. Despite having its roots in the past, heritage demonstrates continuity with the present and looks to the future with the same devotion and commitment, thus guaranteeing quality and authenticity for both museum collections and company productions. Originality/value Through a case study methodology, this paper presents how digital technologies can offer new approaches and tools in museum archives and exhibitions, as well as in company archives and collection development, to reconsider and translate fashion know-how, traditions and memories in the digital era.;"[Martin, Marcella] NYU, Dept Italian Studies, New York, NY USA; [Vacca, Federica] Politecn Milan, Dept Design, Milan, Italy";Vacca, F (reprint author), Politecn Milan, Dept Design, Milan, Italy.;;;;;;52;0;0;2;22;EMERALD GROUP PUBLISHING LTD;BINGLEY;HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND;1560-6074;;;RES J TEXT APPAR;Res. J. Text. Appar.;Dec-03;2018;22;4;;;SI;;335;351;;10.1108/RJTA-02-2018-0015;;;17;Materials Science, Textiles;Materials Science;HB2FK;WOS:000450852300003;;;;;07/02/2020
J;"Bertola, P; Teunissen, J";;;;"Bertola, Paola; Teunissen, Jose";;;Fashion 4.0. Innovating fashion industry through digital transformation;RESEARCH JOURNAL OF TEXTILE AND APPAREL;;;English;Article;;;;;;"Industry 4.0; Digital transformation; Design driven companies; Fashion business models; Fashion design processes; Fashion innovation";TECHNOLOGY;"Purpose The on-going transition of societies and economies toward different organizational paradigms deeply informed by digital technologies is at the very center of current debates, involving scholars and impacting on a broad context of disciplines, ranging from humanities to science and technology. Therefore, the so-called ""Fourth Industrial Revolution"" has been described as a model where new modes of production and consumption will dramatically transform all major industrial systems; it has been targeted by many governmental plans as a goal for a sustainable future. While general frameworks describing 4.0 paradigm are codified and accessible, implementation strategies and their implications on specific local and sectorial systems are largely unexplored. Starting from this assumption, this paper aims to provide insights on the current state of the art and major trends of the ""Fourth Industrial Revolution"", possibly identifying its impacts on the textile and apparel industry. Design/methodology/approach From a methodological standpoint, the study approaches the topic from the perspective of fashion domain experts which can contribute, with a positioning essay, to better understanding Industry 4.0 (I4.0) implementation within their specific domain. This experts' perspective is enriched by several descriptive case studies (Yin, 1984) offering examples and insights on possible implementation of I4.0 solutions in fashion industry, also showing the potential of a design driven perspective. Findings Starting from a synthesis of I4.0 framework and principles, the paper aims at showing their impacts on business units, processes and components within the specific context of the fashion industry. Through emerging evidences detected by experts' domain perspective and exemplified by several descriptive cases, it offers a comprehensive overview of the potential implications of the Forth Industrial Revolution on this specific business. The picture drafted clearly shows how digital transformation, properly driven, could reshape the fashion industry into a more sustainable and truly customer-driven business. But, it also underlines criticalities and slowness of adoption by traditional established brands and companies. As a result, being focused on on-going phenomena, highly unexplored, it shows possible trajectories, enabling an effective transformation of textile and apparel industry embracing the I4.0 paradigm. Originality/value The paper has a broad perspective and could offer insights to different audiences, which could effectively contribute to a positive transition, to scholars and academics, who might want to better address the implementation of I4.0 model into real economic and social context, focusing on medium - long-term implications and showing innovation pathways which are still unexplored, second to practitioners, who are usually immersed into strict silos of competences and business functions and can start to build new bridges and interconnection within the system, taking advantages of I4.0 potential, finally to policy-makers who can better shape development frameworks targeted to specific industries whose features require peculiar approaches and actions.";"[Bertola, Paola] Polytech Univ Milan, Design Dept, Milan, Italy; [Teunissen, Jose] London Coll Fash, London, England";Bertola, P (reprint author), Polytech Univ Milan, Design Dept, Milan, Italy.;;;;;;56;3;3;19;79;EMERALD GROUP PUBLISHING LTD;BINGLEY;HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND;1560-6074;;;RES J TEXT APPAR;Res. J. Text. Appar.;Dec-03;2018;22;4;;;SI;;352;369;;10.1108/RJTA-03-2018-0023;;;18;Materials Science, Textiles;Materials Science;HB2FK;WOS:000450852300004;;Green Accepted;;;07/02/2020
J;Smith, S;;;;Smith, Steven;;;BRAIDED ENVIRONMENTS: A CALL TO EXPLORE RHETORIC AND MATERIALITY THROUGH AUGMENTATIVE TECHNOLOGIES;METACRITIC JOURNAL FOR COMPARATIVE STUDIES AND THEORY;;;English;Article;;;;;;"Material rhetoric; augmented reality; Pokemon Go; Wikitude; virtual community; game studies; posthumanism";;This research proposes that augmented reality technologies have the capabilities of intertwining natural spaces, material spaces, and networked (or immaterial) spaces together through the author's original idea of the between, which can in turn be used to further explore rhetorical discourse and im/materiality and bolster emerging discourse within the digital humanities. By using a variety of contemporary research on diverse topics within augmented reality and the humanities, such as the inside/outside model and the regenerative/transformative concept (each proposed by Victoria Gallagher in her works on visual rhetoric), as well as an examination of current augmented reality applications (Wikitude and Pokemon Go), the author argues that emerging applications in AR can offer scholars a variety of possibilities to explore new media and the humanities, as well as more interdisciplinary fields such as public spaces, natural spaces, digital spaces, rhetoric, science, technology, and critical cultural theory.;[Smith, Steven] North Carolina State Univ, Raleigh, NC 27695 USA;Smith, S (reprint author), North Carolina State Univ, Raleigh, NC 27695 USA.;;;;;;9;0;0;0;0;UNIV BABES-BOLYAI, FAC LETTERS, PHANTASMA CTR IMAGINATION STUDIES;CLUJ-NAPOCA;STR HOREA 31, CLUJ-NAPOCA, 400202, ROMANIA;;2457-8827;;METACRITIC J COMP ST;Metacritic J. Comp. Stud. Theory;DEC;2018;4;2;;;;;5;19;;10.24193/mjcst.2018.6.01;;;15;Literature;Literature;IY1GV;WOS:000486141000001;;DOAJ Gold;;;07/02/2020
J;Balici, M;;;;Balici, Mihnea;;;THE EMERGENCE OF QUANTITATIVE STUDIES. ACTUAL FUNCTIONALITIES AND THE ROMANIAN CASE;METACRITIC JOURNAL FOR COMPARATIVE STUDIES AND THEORY;;;English;Article;;;;;;"quantitative studies; macroanalysis; distant reading; statistical analysis; sociology of literature";;The aim of this essay is to examine the evolution of quantitative studies and the changes that occurred within their usage, portraying the international case as well as debating upon the existence and the relevance of a Romanian case. Given the fact that quantitative studies have become increasingly visible in literary studies during the last decades, due to various influences such as Franco Moretti's theoretical branch or Matthew L. Jockers' macroanalysis and its appropriation in digital humanities, a pertinent study on this methodology is necessary because: 1) it can contribute to a better understanding of the role it has had in this domain and 2) it can bring better insight into its possible use in our country. For these reasons, this essay is seeking to present a history of the quantitative methodological approach as applied on macro scales (therefore, the main domains discussed in this essay are the sociology of literature and digital humanities) and to describe the ways it has influenced or may further influence the study of literature in Romania.;[Balici, Mihnea] Babes Bolyai Univ, Fac Letters, Cluj Napoca, Romania;Balici, M (reprint author), Babes Bolyai Univ, Fac Letters, Cluj Napoca, Romania.;;;;;;22;0;0;0;0;UNIV BABES-BOLYAI, FAC LETTERS, PHANTASMA CTR IMAGINATION STUDIES;CLUJ-NAPOCA;STR HOREA 31, CLUJ-NAPOCA, 400202, ROMANIA;;2457-8827;;METACRITIC J COMP ST;Metacritic J. Comp. Stud. Theory;DEC;2018;4;2;;;;;54;71;;10.24193/mjcst.2018.6.04;;;18;Literature;Literature;IY1GV;WOS:000486141000004;;DOAJ Gold;;;07/02/2020
J;"Lee, HL; Wang, SG";;;;"Lee, Hur-Li; Wang, Shengang";;;Investigating Digital Humanities: A Domain Analysis of Conference Proceedings Published in Taiwan, 2009-2016;JOURNAL OF LIBRARY AND INFORMATION STUDIES;;;English;Article;;;;;;"Domain Analysis; Digital Humanities; International Conference of Digital Archives and Digital Humanities (Taipei, Taiwan)";INFORMATION-SCIENCE;"The study reports on an analysis of a chosen corpus in the emergent domain of digital humanities (DH). In contrast to other studies of the DH literature that focus on publications in the west, this study examines 129 papers published in the proceedings of the International Conferences of Digital Archives and Digital Humanities that were held in Taiwan between 2009 and 2016. In all, 236 individual authors from 15 countries contributed at least one paper; 50 domains were represented. Three East Asian countries (Taiwan, China, and Japan) show a dominating presence, and top three domains (computer science, history, and Chinese) have the highest numbers of participants and highest numbers of first authors. Unlike their counterparts in the humanities, the papers in the study have a much higher percentage of collaborative works. More than half of the papers that are collaborative works are interdisciplinary, but only one-fifth involve international collaboration. Proportionally, computer scientists' participation rate decreases and humanists' rate increases, however modestly, from 2012 onward. The study also investigates digital technology's impact on DH in various stages of the information lifecycle. More than two-thirds of the papers discuss technology's impact in the area of consuming data from digital collections for various purposes, with the impact on building retrieval systems/online platforms coming in second at 26.6%. Among different years, the first year is exceptional in showing high interest in the impact on building digital collections, building knowledge organization systems, and building retrieval systems but low interest in the impact on data consumption. Humanists in general are more attentive to the impact on consumption than technologists, while the latter lean toward the impact on building retrieval systems. Without any claim to comprehensiveness or representativeness, the study provides a snapshot of the DH literary output.";"[Lee, Hur-Li; Wang, Shengang] Univ Wisconsin Milwaukee, Sch Informat Studies, Milwaukee, WI 53211 USA";Lee, HL (reprint author), Univ Wisconsin Milwaukee, Sch Informat Studies, Milwaukee, WI 53211 USA.;;;;;;19;0;0;3;4;NATL TAIWAN UNIV, DEPT LIBRARY & INFORMATION SCIENCE;TAIPEI;NO, 1, SEC 4, ROOSEVELT RD, TAIPEI, 10617, TAIWAN;1606-7509;2309-9119;;J LIBR INFORM STUD;J. Libr. Inf. Stud.;DEC;2018;16;2;;;;;1;23;;10.6182/jlis.201812_16(2).001;;;23;Information Science & Library Science;Information Science & Library Science;HZ8NS;WOS:000469113700001;;DOAJ Gold;;;07/02/2020
J;Wu, YC;;;;Wu, Yi-Chen;;;The anthropocosmic vision of mixed reality: Taking HCI artwork Flow of Qi (2007) as a case study;TECHNOETIC ARTS;;;English;Article;;;;;;"mixed reality; agency; Qi; anthropocosmic; HCI aesthetics; phenomenology";;This article critically investigates the potential confrontation that exists between mixed reality in Human-Computer Interaction (HCI) artworks that are, respectively, based on the concepts of phenomenology and Chinese Qi. My proposal is exemplified by the Industrial Technology Research Institute of Taiwan's Flow of Qi (2007), which uses ultra wide band technology that instantly transforms the data of a pair of participants' real-time breath into the replication of calligraphy master-works projected onto the floor in front of the participants. To explore how efficiency of breath constitutes mixed reality in Flow of Qi, I draw a parallel between Qi, which is embodied as breath, and agency whereby, as discussed by Murray and Hansen, the notion of the perception-action relationship is emphasized. However, compared to agency, Qi is characterized as evoking 'the unity of the cosmos with humanity' (t'ien-jen ho-yi) because the participants are involved in a process wherein the masters used their brushstrokes to grasp the respiration of the cosmos. Therefore, employing the concepts of Chinese Qi draws out an anthropocosmic vision of mixed reality that links participants with the cosmos and manifests a Qi world-view through digital media.;[Wu, Yi-Chen] Natl Sun Yat Sen Univ, Dept Theater Arts, 70 Lienhai Rd, Kaohsiung 80424, Taiwan;Wu, YC (reprint author), Natl Sun Yat Sen Univ, Dept Theater Arts, 70 Lienhai Rd, Kaohsiung 80424, Taiwan.;;;;;;16;0;0;2;3;INTELLECT LTD;BRISTOL;THE MILL, PARNALL RD, BRISTOL, BS16 3JG, ENGLAND;1477-965X;1758-9533;;TECHNOETIC ARTS;Technoetic Arts;DEC;2018;16;3;;;;;377;386;;10.1386/tear.16.3.377_1;;;10;Humanities, Multidisciplinary;Arts & Humanities - Other Topics;HV6YV;WOS:000466129600016;;;;;07/02/2020
J;Steinerova, J;;;;Steinerova, Jela;;;Perceptions of the information environment by researchers: a qualitative study;INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL;;;English;"Article; Proceedings Paper";ISIC Information Behaviour Conference;OCT 09-11, 2018;Krakow, POLAND;ISIC;;;"HUMANITIES SCHOLARS; SEEKING; COMMUNICATION; LITERACY; SCIENCE";"Introduction. Information behaviour of researchers is examined based on a qualitative study of 19 Slovak researchers. The aim is to find how researchers engage with information and how they perceive information environment with regard to barriers, publishing, digital and open science and research creativity. Method. Related information behaviour studies of researchers are reviewed. Research design represents the structure of the information environment The methodology of semi-structured interviews with 19 researchers was applied. Analysis. Qualitative data analyses and an original concept mapping method were applied. Examples of original concept maps represent the identified discourses. Results. Two interpretative repertoires of Slovak researchers related to the information environment were identified; namely the critical and the constructive repertoires. The perceived barriers were categorized into the system, social, individual, technological, administrative and financial. Three modes of publishing include sciences, humanities and social sciences, and computer science. New contexts emerged in factors of open science, digital humanities and research creativity. Conclusion. We proposed the framework of research information interactions, common factors and differences in disciplines were explained. The concept of academic information ecologies is proposed including recommendations for academic libraries.";[Steinerova, Jela] Comenius Univ, Dept Lib & Informat Sci, Gondova 2, Bratislava 81499, Slovakia;Steinerova, J (reprint author), Comenius Univ, Dept Lib & Informat Sci, Gondova 2, Bratislava 81499, Slovakia.;;; [APVV 15-0508 HIBER];This work was supported by the project APVV 15-0508 HIBER.;;65;2;2;3;6;UNIV SHEFFIELD DEPT INFORMATION STUDIES;SHEFFIELD;UNIV SHEFFIELD, WESTERN BANK, SHEFFIELD S10 2TN, S YORKS, ENGLAND;1368-1613;;;INFORM RES;Inf. Res.;DEC;2018;23;4;;;;;;;isic1812;;;;13;Information Science & Library Science;Information Science & Library Science;HP1ZL;WOS:000461467600012;;DOAJ Gold;;;07/02/2020
J;Moro, S;;;;Moro, Shigeki;;;Remarks on the 3DCG Visualization of Lost Buddhist Temples;INTERNATIONAL JOURNAL OF BUDDHIST THOUGHT & CULTURE;;;English;Article;;;;;;"3DCG Reconstruction; Un-representability of the Past; Historical Past; Practical Past; Buddhist Practice of Visualization";;Now the distribution of cultural and religious information depends on the digital environment. Three-dimensional computer graphics (3DCG) and virtual reality (VR) technologies have been applied in the field of the Digital Humanities (DH), as well as in cultural preservation, cultural heritage education, regional revitalization, tourism promotion, and so forth. This paper examines the problems of 3DCG visualization of lost Buddhist temples, focusing on historical representation and religious meaning. A 3DCG reconstruction of lost cultural heritage by an academic expert depends on their historical interpretation and imagination. Non-experts may feel that the scholarly reconstruction does not match their image. The reconstruction by the academic expert and what is desired by non-academic users, as well as academic Buddhist studies and the practical and religious studies of each Buddhist sect (shugaku), respectively correspond to the historical past and practical past introduced by Hayden White. The former should be open to future revisions and criticisms based on different interpretations of the past, while it could encourage people to stay away from an arbitrary understanding of the past, such as historical revisionism. The digital environment has altered the relationship between people and religion. There are many religious practices, including Buddhist meditation, in VR environment. In the context of Mahayana Buddhism, visualization is a meditation practice and a way of communicating with the holy things, the dead, and the past. 3DCG visualization of lost Buddhist temples could be regarded as such kind of Buddhist practice, and it might contribute to supporting the activities of some Buddhists in the digital age.;[Moro, Shigeki] Hanazono Univ, Kyoto, Japan;Moro, S (reprint author), Hanazono Univ, Kyoto, Japan.;;Moro, Shigeki/0000-0002-1764-7770;JSPSMinistry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of Science [JP16H03351, JP17H02327];"This paper was presented at the international conference ""Digital Humanities and Buddhism: The Future of Data Mining and Visualization"" held on June 2, 2018 at Dongguk University, Seoul. Before that, a part of this paper was presented at the 14th International Conference on Digital Preservation (iPRES2017; https://ipres2017.jp) held on September 26, 2017. This paper was supported by JSPS Grants-in-Aid for Scientific Research No. JP16H03351 and JP17H02327.";;32;0;0;4;9;DONGGUK UNIV, ACAD BUDDHIST STUDIES;SEOUL;MAIN HALL 202, 2, TOEGYE-RO 36-GIL, JUNG-GU, SEOUL, 04626, SOUTH KOREA;1598-7914;;;INT J BUDDH THOUGHT;Int. J. Buddh. Thought Cult.;DEC;2018;28;2;;;;;87;112;;10.16893/IJBTC.2018.12.28.2.87;;;26;Religion;Religion;HN5FW;WOS:000460210100005;;;;;07/02/2020
J;Conradie, K;;;;Conradie, Karlien;;;The aesthetic disposition as psychotherapeutic quality in a mainly apathetic, digitalised environment;TYDSKRIF VIR GEESTESWETENSKAPPE;;;Afrikaans;Review;;;;;;"educational psychology; psychotherapist; aesthetic disposition; ontological grounding; self-transformation; digital-media culture; apathy; attentive presence; empathic sensitiveness; artistry";;"The psychotherapeutic space is characterised by, inter alia, empathetic participation, that is, sensitivity for the problematic nature of the existence and meaning of everything. The aesthetic disposition is a demand made on the therapist to be receptive to la condition humaine in an existential manner. In this article, I contend that in the face of an unbridled digital culture, the above-mentioned psychotherapeutic quality may be threatened. Furthermore, I scrutinise the nature of this concern in the light of interwoven theoretical and philosophical approaches, and of examples from poetry and literary prose. It is suggested that the training of postgraduate psychology students in general and educational psychology students in particular who have grown up with digital media ought to be reviewed. When online digital media become the predominant tool with which meaning is unlocked and interpreted it probably says something about the way people approach their world epistemologically and ontologically. In this regard, the ever-expanding digital consumerism, characterised by utility and immediacy, increasingly serves as hubris through which humanity appears to be doomed to collapse. This collapse would not necessarily mean the disappearance of Homo sapiens, but rather refers to an impoverishment of the function of language and thought in humankind's pursuit of meaning creation. Recent research contends that the rapid hybridisation (that is, the fusion of human being and android/machine) to which humankind is exposed occurs at the expense of certain knowledge-gaining and meaning-creating functions. One of these functions is the search for coherence by means of in-depth interpretation frameworks in order to steer away from chaos and fragmentation at the social and personal-psychological levels. Specifically, it concerns the impoverished role of language and thought as vital conditions for the articulation of the fine network of nuances of events and experiences. A predominantly digitalised culture in which the rich register of personal experiences is hardly given a place can lead to the ontology of existence being reduced to filtered, instant experiences and knowledge fragments stripped of their essential nuances. Another factor contributing to indifference in the context of the psychotherapist's thinking actions is the inherent fragmentation of the profession of psychology. This often makes it difficult for therapists who pursue the humanistic principles of solicitude and endeavour to fathom the greatest depths of humanity, to position themselves simultaneously within various social systems. Gardner believes ""an effective counsellor must radically change his or her perspective on a client throughout the day, viewing the client first through the client's own eyes; then through the eyes of a legal authority or insurance entity; and possibly even through the eyes of a particular agency or school, whose own policies may differ widely from the counsellor, client, or payer"" (Gardner 2016:88). According to Gardner, the orientation of metamodernism, characterised by continuous movement and reform, can serve as a conciliatory paradigm to deal with fragmentation and conflicting contexts peculiar to psychotherapeutic practice. She illustrates this fragmentation with reference, in particular, to the one-dimensional reliance on ""neo-medical strategies"" (Gardner 2016:89), namely rigid treatment plans, diagnostic criteria and DSM1 codes and categories, as opposed to a humanistic approach characterised by human autonomy and integrity. It is suggested that metamodernism as an attitude becomes a way for the educational psychologist of positioning herself in ambivalent environments by means of a to-and-fro movement between conflicting contexts and metaphysical issues related to psychology, such as good/evil, male/female, conscious/unconscious, psychological distress/prosperity, rather than a total rejection of boundaries as in postmodernism. In this article, with reference to several theories in philosophy and psychology, analytical literary discussions and recent information science research findings, I endeavour to gain clarity about how the culture of digital media relates to the need for an aesthetic disposition, specifically as a psychotherapeutic quality. In considering this, I explain how art as a direction indicator of the aesthetic disposition can be applied to advance and enrich the thinking of the psychotherapist and educational psychologist.";[Conradie, Karlien] Univ Stellenbosch, Dept Opvoedkundige Sielkunde, Stellenbosch, South Africa;Conradie, K (reprint author), Univ Stellenbosch, Dept Opvoedkundige Sielkunde, Stellenbosch, South Africa.;;Conradie, Karlien/0000-0002-3301-456X;;;;39;0;0;0;5;SUID-AFRIKAANSE AKAD VIR WETENSKAP EN KUNS, SEKRETARIS;PRETORIA;P. O. BOX 538, PRETORIA, 00000, SOUTH AFRICA;0041-4751;;;TYDSKR GEESTESWET;Tydskr. Geesteswet.;DEC;2018;58;4;2;;;;976;991;;10.17159/2224-7912/2018/v58n4-2a7;;;16;Social Issues;Social Issues;HL1VV;WOS:000458492300007;;Bronze, Other Gold;;;07/02/2020
J;"Napier, K; Shamir, L";;;;"Napier, Kathleen; Shamir, Lior";;;Quantitative Sentiment Analysis of Lyrics in Popular Music;JOURNAL OF POPULAR MUSIC STUDIES;;;English;Article;;;;;;"Popular music; lyrics; data science; sentiment analysis; Billboard; tone analyzer";"SELF-REPORT; POP-MUSIC; EMOTION; OBJECTIFICATION; CLASSIFICATION; IMPLICIT; GENDER; TRENDS; GENRE; MODEL";Popular music has been changing significantly over the years, revealing clear, audible differences when compared with songs written in other eras. A pop music composition is normally made of two parts-the tune and the lyrics. Here we use a digital humanities and data science approach to examine how lyrics changed between the 1950' s and the more recent years, and apply quantitative analysis to measure these changes. To identify possible differences, we analyzed the sentiments expressed in the songs of the Billboard Hot 100, which reflects the preferences of popular music listeners and fans in each year. Automatic sentiment analysis of 6,150 Billboard 100 songs covering all the years from 1951 through 2016 shows clear and statistically significant changes in sentiments expressed through the lyrics of popular music, generally towards a more negative tone. The results show that anger, disgust, fear, sadness, and conscientiousness have increased significantly, while joy, confidence, and openness expressed in pop song lyrics have declined.;"[Napier, Kathleen] Lawrence Technol Univ, Southfield, MI 48075 USA; [Shamir, Lior] Lawrence Technol Univ, Comp Sci, Southfield, MI USA; [Shamir, Lior] Lawrence Technol Univ, Res, Southfield, MI USA";Napier, K (reprint author), Lawrence Technol Univ, Southfield, MI 48075 USA.;;;;;;42;1;1;4;9;UNIV CALIFORNIA PRESS;OAKLAND;155 GRAND AVE, SUITE 400, OAKLAND, CA 94612-3758 USA;1524-2226;1533-1598;;J POP MUSIC STUD;J. Pop. Music Stud.;DEC;2018;30;4;;;;;161;176;;10.1525/jpms.2018.300411;;;16;Music;Music;HK4PU;WOS:000457944000011;;;;;07/02/2020
