algorithm_version,doi,doi_resolver,evidence,free_fulltext_url,is_boai_license,is_free_to_read,is_subscription_journal,license,oa_color,title,url
2,10.1016/j.tra.2018.03.017,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,"Do accessibility, vulnerability, opportunity, and travel characteristics have uniform impacts on the traveler’s experience?",https://doi.org/10.1016/j.tra.2018.03.017
2,10.1093/jeg/lbx035,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,OUP accepted manuscript,https://doi.org/10.1093/jeg/lbx035
2,10.1093/cje/bey036,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,OUP accepted manuscript,https://doi.org/10.1093/cje/bey036
2,10.3390/su10061946,crossref,open (via page says license),http://www.mdpi.com/2071-1050/10/6/1946/pdf,TRUE,TRUE,FALSE,cc-by,bronze,‘They had to Go’: Indian Older Adults’ Experiences of Rationalizing and Compensating the Absence of Migrant Children,https://doi.org/10.3390/su10061946
2,10.1016/j.healthplace.2018.06.010,crossref,open (via crossref license),https://doi.org/10.1016/j.healthplace.2018.06.010,TRUE,TRUE,TRUE,cc-by,bronze,Urban population density and mortality in a compact Dutch city: 23-year follow-up of the Dutch GLOBE study,https://doi.org/10.1016/j.healthplace.2018.06.010
1,10.1186/s12913-018-3624-6,crossref,oa journal (via doaj),https://doi.org/10.1186/s12913-018-3624-6,TRUE,TRUE,FALSE,cc-by,gold,Advice from the health insurer as a channelling strategy: a natural experiment at a Dutch health insurance company,https://doi.org/10.1186/s12913-018-3624-6
1,10.3390/ijerph15102195,crossref,oa journal (via doaj),https://doi.org/10.3390/ijerph15102195,TRUE,TRUE,FALSE,cc-by,gold,"Does Residential Green and Blue Space Promote Recovery in Psychotic Disorders? A Cross-Sectional Study in the Province of Utrecht, The Netherlands",https://doi.org/10.3390/ijerph15102195
1,10.1111/tesg.12318,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Social Capital in an Era of Super-diversity: Introduction to Tesg Dossier,https://doi.org/10.1111/tesg.12318
1,10.1111/tesg.12320,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,What drives the public opinion on asylum policy in the Netherlands?,https://doi.org/10.1111/tesg.12320
1,10.18546/lre.16.3.07,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Identifying powerful geographical knowledge in integrated curricula in Dutch schools,https://doi.org/10.18546/lre.16.3.07
2,10.2147/ppa.s147616,crossref,open (via page says license),https://www.dovepress.com/getfile.php?fileID=39824,FALSE,TRUE,FALSE,cc-by-nc,bronze,Is there a conflict between general practitioners applying guidelines for antibiotic prescribing and including their patients&rsquo; preferences?,https://doi.org/10.2147/ppa.s147616
2,10.1007/s10037-017-0112-0,crossref,oa repository (via OAI-PMH title and first author match),https://www.econstor.eu/bitstream/10419/111891/1/wp2013-08.pdf,FALSE,TRUE,TRUE,NA,green,The innovation efficiency of German regions – a shared-input DEA approach,https://doi.org/10.1007/s10037-017-0112-0
2,10.1080/13662716.2017.1343130,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Critical links in knowledge networks – What about proximities and gatekeeper organisations?,https://doi.org/10.1080/13662716.2017.1343130
2,10.1080/09654313.2018.1448757,crossref,open (via page says Open Access),https://www.tandfonline.com/doi/pdf/10.1080/09654313.2018.1448757?needAccess=true,FALSE,TRUE,TRUE,implied-oa,bronze,On the evolution of the Castel Goffredo hosiery cluster: a life cycle perspective,https://doi.org/10.1080/09654313.2018.1448757
2,10.1080/19448953.2017.1375272,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,‘I am the God of the House’: How Albanian Rural Men Shift their Performance of Masculinities in the City,https://doi.org/10.1080/19448953.2017.1375272
1,10.1080/2331186x.2018.1538587,crossref,oa journal (via doaj),https://doi.org/10.1080/2331186x.2018.1538587,TRUE,TRUE,FALSE,cc-by,gold,Using an Ice-skating Exergame to Foster Intercultural Interaction Between Refugees and Dutch children,https://doi.org/10.1080/2331186x.2018.1538587
2,10.1186/s12889-018-5919-2,crossref,open (via page says license),https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-018-5919-2,TRUE,TRUE,FALSE,cc-by,bronze,Time-use and environmental determinants of dropout from organized youth football and tennis,https://doi.org/10.1186/s12889-018-5919-2
1,10.1371/journal.pone.0205198,crossref,oa journal (via doaj),https://doi.org/10.1371/journal.pone.0205198,TRUE,TRUE,FALSE,cc-by,gold,"Sports participation in sport clubs, gyms or public spaces: How users of different sports settings differ in their motivations, goals, and sports frequency",https://doi.org/10.1371/journal.pone.0205198
