org_unit,system_id,issn,doi,OA_status_pure,electronic_version,public_access,embargo_date,DOAJ_ISSN_match,VSNU_doi_match,pure_green,algorithm_version,doi_resolver,evidence,free_fulltext_url,is_boai_license,is_free_to_read,is_subscription_journal,license,oa_color,url,OA_label,OA_label_detail,Transfer publication to repository-13,information,title,authors,journal
UMC Utrecht,25085245,00064971,10.1182/blood-2018-02-830844,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1182/blood-2018-02-830844,CLOSED,CLOSED,NA,TRUE,Intravenous immunoglobulin vs observation in childhood immune thrombocytopenia,NA,NA
UMC Utrecht,25722372,12949361,10.1684/epd.2018.1003,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLOSED,CLOSED,NA,FALSE,Why the TimeToStop trial failed to recruit,NA,NA
UMC Utrecht,25857107,NA,10.1080/20013078.2018.1535750,Open,"Final published version, Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,1,crossref,oa journal (via doaj),https://doi.org/10.1080/20013078.2018.1535750,FALSE,TRUE,FALSE,cc-by-nc,gold,https://doi.org/10.1080/20013078.2018.1535750,HYBRID,HYBRID UPW GOLD,NA,TRUE,Minimal information for studies of extracellular vesicles 2018 (MISEV2018),NA,NA
UMC Utrecht,26535426,03645134,10.1002/ana.25350,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,1,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1002/ana.25350,CLOSED,CLOSED,NA,TRUE,NBEA,NA,NA
UMC Utrecht,26909109,00283932,10.1016/j.neuropsychologia.2018.08.008,Open,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,oa repository (via OAI-PMH title and first author match),http://edoc.mdc-berlin.de/17695/9/17695oa.pdf,FALSE,TRUE,TRUE,cc-by-nc-nd,green,https://doi.org/10.1016/j.neuropsychologia.2018.08.008,GREEN,GREEN UPW,NA,TRUE,Size matters,NA,NA
UMC Utrecht,27077143,13696513,10.1111/hex.12796,Open,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,open (via page says license),https://onlinelibrary.wiley.com/doi/pdf/10.1111/hex.12796,TRUE,TRUE,TRUE,cc-by,bronze,https://doi.org/10.1111/hex.12796,HYBRID,HYBRID UPW BRONZE,NA,TRUE,How do adolescents with cerebral palsy participate? Learning from their personal experiences,NA,NA
UMC Utrecht,27475310,0264410X,10.1016/j.vaccine.2018.10.041,Open,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,1,crossref,open (via crossref license),https://doi.org/10.1016/j.vaccine.2018.10.041,TRUE,TRUE,TRUE,cc-by,bronze,https://doi.org/10.1016/j.vaccine.2018.10.041,HYBRID,HYBRID UPW BRONZE,NA,TRUE,Informing randomized clinical trials of respiratory syncytial virus vaccination during pregnancy to prevent recurrent childhood wheezing,NA,NA
UMC Utrecht,27560054,14786354,10.1186/s13075-018-1780-z,Open,"Final published version, Final published version",NA,NA,TRUE,FALSE,FALSE,1,crossref,oa repository (via OAI-PMH title and first author match),https://repub.eur.nl/pub/113714/Repub_113714_O-A.pdf,TRUE,TRUE,TRUE,cc-by,green,https://doi.org/10.1186/s13075-018-1780-z,GOLD,GOLD,NA,TRUE,Pharmacovigilance in juvenile idiopathic arthritis patients treated with biologic or synthetic drugs,NA,NA
UMC Utrecht,27627948,15524825,10.1002/ajmg.a.40472,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,1,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1002/ajmg.a.40472,CLOSED,CLOSED,NA,TRUE,Refining the phenotype associated with GNB1 mutations,NA,NA
UMC Utrecht,27680327,01663542,10.1016/j.antiviral.2017.12.001,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1016/j.antiviral.2017.12.001,CLOSED,CLOSED,NA,TRUE,Availability of hepatitis C diagnostics and therapeutics in European and Eurasia countries,NA,NA
UMC Utrecht,27687773,14744422,10.1016/s1474-4422(18)30195-9,Open,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,open (via crossref license),https://doi.org/10.1016/s1474-4422(18)30195-9,TRUE,TRUE,TRUE,cc-by,bronze,https://doi.org/10.1016/s1474-4422(18)30195-9,HYBRID,HYBRID UPW BRONZE,NA,TRUE,Restenosis and risk of stroke after stenting or endarterectomy for symptomatic carotid stenosis in the International Carotid Stenting Study (ICSS),NA,NA
UMC Utrecht,27754689,02636352,10.1097/hjh.0000000000001785,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1097/hjh.0000000000001785,CLOSED,CLOSED,NA,TRUE,Four ECG left ventricular hypertrophy criteria and the risk of cardiovascular events and mortality in patients with vascular disease,NA,NA
UMC Utrecht,27953358,00029149,10.1016/j.amjcard.2018.02.037,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1016/j.amjcard.2018.02.037,CLOSED,CLOSED,NA,TRUE,Defining and Measuring a Standard Set of Patient-Relevant Outcomes in Coronary Artery Disease,NA,NA
UMC Utrecht,27960224,00029297,10.1016/j.ajhg.2018.09.009,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,1,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1016/j.ajhg.2018.09.009,CLOSED,CLOSED,NA,TRUE,"Genome Analyses of >200,000 Individuals Identify 58 Loci for Chronic Inflammation and Highlight Pathways that Link Inflammation and Complex Disorders",NA,NA
UMC Utrecht,27973804,07351097,10.1016/j.jacc.2018.08.2181,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,1,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1016/j.jacc.2018.08.2181,CLOSED,CLOSED,NA,TRUE,Dilated Cardiomyopathy Due to BLC2-Associated Athanogene 3 (BAG3) Mutations,NA,NA
UMC Utrecht,27974529,21686149,10.1001/jamaneurol.2017.5162,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1001/jamaneurol.2017.5162,CLOSED,CLOSED,NA,TRUE,Association of Reperfusion With Brain Edema in Patients With Acute Ischemic Stroke,NA,NA
UMC Utrecht,27996224,03406717,10.1007/s00439-018-1880-5,Indeterminate,Final published version,NA,NA,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HYBRID,HYBRID VSNU,NA,TRUE,Heterozygous missense variants of LMX1A lead to nonsyndromic hearing impairment and vestibular dysfunction,NA,NA
UMC Utrecht,28031981,14712393,10.1186/s12884-018-2021-9,Open,"Final published version, Final published version",NA,NA,TRUE,FALSE,FALSE,1,crossref,oa journal (via doaj),https://doi.org/10.1186/s12884-018-2021-9,TRUE,TRUE,FALSE,cc-by,gold,https://doi.org/10.1186/s12884-018-2021-9,GOLD,GOLD,NA,TRUE,Association between fluid management and dilutional coagulopathy in severe postpartum haemorrhage,NA,NA
UMC Utrecht,28032082,24739529,10.1182/bloodadvances.2018022632,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLOSED,CLOSED,NA,FALSE,Coagulation parameters during the course of severe postpartum hemorrhage,NA,NA
